CONSINEE,CONSINEE_ADDRESS,PORT_CODE,FOREIGN_PORT,FOREIGN_COUNTRY
CRYSTAL COVE SEAFOOD CORPORATION,N?A,USNYC,New York,United States
MINH PHU SEAFOOD CORP,N?A,VNCLI,Cát Lái,Vietnam
THUAN PHUOC SEAFOODS AND,N?A,VNDAD,Da Nang,Vietnam
DANANG SEAPRODUCTS IMPORT,N?A,VNDAD,Da Nang,Vietnam
DANANG SEAPRODUCTS IMPORT,N?A,VNDAD,Da Nang,Vietnam
"GULF SEAFOOD LLC.,",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,",N?A,AEJEA,Jebel Ali,United Arab Emirates
"GULF SEAFOOD LLC.,",N?A,AEJEA,Jebel Ali,United Arab Emirates
CRYSTAL COVE SEAFOOD CORPORATION,N?A,USNYC,New York,United States
CRYSTAL COVE SEAFOOD CORPORATION,N?A,USNYC,New York,United States
MINH PHU SEAFOOD CORP,N?A,VNCLI,Cát Lái,Vietnam
MINH PHU SEAFOOD CORP,N?A,VNCLI,Cát Lái,Vietnam
"QUOC VIET SEA PRODUCTS PROCESSING,",N?A,VNCLI,Cát Lái,Vietnam
THANH NGA COMMERCE AND CONSTRUCTION,N?A,VNHPH,Haiphong,Vietnam
DENASIA JOINT VENTURE APS,N?A,BLL,Billund,Denmark
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
LEGEND 73 SARL,N?A,RNS,Rennes,France
JOE'S JEANS,N?A,LAX,Los Angeles (CA) - International,United States
JOE'S JEANS,N?A,LAX,Los Angeles (CA) - International,United States
JOE'S JEANS,N?A,LAX,Los Angeles (CA) - International,United States
M/S.KOENIG LEATHER WEAR GMBH,N?A,FRA,Frankfurt/Main - Frankfurt Airport (Rhein-Main-Flughafen),Germany
M/S.KOENIG LEATHER WEAR GMBH,N?A,FRA,Frankfurt/Main - Frankfurt Airport (Rhein-Main-Flughafen),Germany
